s_ra,s_dec,target_name,band_list,t_exptime
177.2625501792377,14.571547978596385,HD102647,6,18409.868
25.623921090623554,-53.74151359577984,HD10647,7,2298.24
184.77578524317238,16.547217182421225,HD107146,1,13456.608
189.00383977045587,-39.86965973208726,HD109573,7,876.96
189.6776107124959,-68.7637239584634,HD109832,8,1360.8
190.4716159672346,10.235041903003575,HD110411,6,12690.549
208.8284307254712,-53.52864013385462,HD121191,8,967.68
209.42113026372502,-47.009640820197106,HD121617,8,846.72
223.78330657349963,-41.120525321105184,HD131488,7,17231.438
224.22681671235128,-35.695580187086584,HD131835,8,846.72
233.8169623370961,-25.734334400084034,HD138813,7,1481.76
235.0474801160529,-70.22818682133449,HD138965,6,2449.44
34.32889953377594,33.84692436195447,HD14055,6,1300.32
237.23645129335677,-3.8184615972093807,HD141378,6,14182.306
237.49050125161708,-3.921334168636769,HD141569,7,15597.061
239.1666983783059,-22.027900020469172,HD142666,6,1300.32
243.39287140476637,-45.81790155486334,HD145560,7,19685.034
244.87177784071696,-21.403830352236014,HD146897,8,20320.278
250.40292399660984,26.91665578526982,HD150682,6,1360.8
36.568275579198804,6.292218602779065,HD15115,7,34018.433
37.04147233713497,29.668787392040905,HD15257,7,31595.187
255.02606950807325,-54.597651178504044,HD153053,6,19896.53
260.21075713311416,-45.42112055904918,HD156623,7,1209.6
262.20656116822835,0.3307303341958834,HD158352,6,876.96
266.9730439847833,2.7069011711281874,HD161868,6,4354.556
270.7642427186041,-51.64938508933216,HD164249,6,423.36
39.78218216120224,-52.93453576493832,HD16743,6,5805.983
278.25440997833607,-39.89242974696732,HD170773,6,4172.949
281.3624150965155,-64.87190706101953,HD172555,6,453.6
290.71355005058575,-54.42428897393634,HD181296,6,846.159
290.74580259388324,-54.538438242759185,HD181327,8,2872.8
291.7354572032394,-29.74348406878292,HD182681,6,1632.549
302.2719508511789,-26.224390820648534,HD191089,6,816.48
319.6153488904904,-43.334541061941444,HD202628,6,8799.322
324.3382742073311,-18.441715673726687,HD205674,6,816.48
326.3417696071705,-12.783351709722899,HD206893,7,16216.478
336.56002567149517,-2.7893946575743187,HD212695,6,846.72
344.4153882167467,-29.6234324421183,HD216956,1,10401.626
52.97395905573478,-25.614260454767532,HD21997,7,5926.907
75.61435562190026,7.460866807888706,HD32297,7,9192.114
81.65254439002113,-22.489947782565203,HD35841,6,1631.906
2.107886413063969,6.616788416193775,HD377,6,6704.656
86.82125447581116,-51.06591790134831,HD39060,1,13910.16
104.99636377217855,-61.33443342921032,HD53143,6,12998.524
113.9473295136604,-32.20341706314799,HD61005,7,6256.967
134.3970654842217,15.581415054221416,HD76582,7,5987.401
147.2616323923897,34.08503878870467,HD84870,7,37725.439
164.26187344382367,-68.66726679787949,HD95086,7,8436.801
23.658031449886987,-15.676382352512565,HD9672,7,2993.76
