s_ra,s_dec,target_name,band_list,t_exptime,gaia_source_id,sep_arcsec,gaia_match_quality,has_gaia
56.96879058595186,23.94122003139856,HII_1613,6,254.01,6.50204146798793e+16,0.8875134533973765,good,True
57.029686436899496,24.14190864040187,HII_1726,6,253.96,6.671304411256486e+16,0.9030359516217635,good,True
55.95181959893646,25.18988031878589,HII_173,6,254.005,6.988341717017549e+16,0.06787725623488777,good,True
55.95157203880474,25.004118939201103,HII_174,6,254.005,6.987671272433946e+16,0.377032901180729,good,True
57.07044236976729,25.214879755977737,HII_1766,6,254.005,6.693984844702758e+16,0.21756223132203864,good,True
57.07384859509675,25.04761892241433,HII_1776,6,254.006,6.683210060515942e+16,0.14643506562251454,good,True
57.07045833001554,23.636805560003364,HII_1797,6,254.016,6.49995883815145e+16,0.8226318324473139,good,True
57.10915438674084,24.04820557494121,HII_1856,6,254.005,6.652389375343782e+16,0.1515859425351007,good,True
57.14504474717648,24.180887130912204,HII_1912,6,253.989,6.671861038957709e+16,0.3602722861845732,good,True
57.14393493801172,23.43456586122931,HII_1924,6,254.005,6.494121118603635e+16,0.18240706466106746,good,True
57.20394848611017,24.267436049466205,HII_2027,6,253.999,6.67209468517719e+16,1.0145074468313,questionable,True
57.27557734004347,23.781042234240143,HII_2147,6,254.006,6.65034497092704e+16,0.0907875705956882,good,True
57.29904203546693,24.63635528042978,HII_2172,6,254.006,6.677114642945459e+16,0.1976532167890083,good,True
57.357298243517384,24.937372292542243,HII_2278,6,254.005,6.687343107278861e+16,0.3352322815338081,good,True
55.729772446476254,24.492837795619728,HII_25,6,254.006,6.831056148971034e+16,0.14185131189515182,good,True
56.01776797210079,24.989584269047544,HII_250,6,253.997,6.982960981991565e+16,0.14405131346822836,good,True
57.485503237668254,23.21837668931851,HII_2506,6,254.006,6.492441357110195e+16,0.20062813163165083,good,True
57.58707917002112,24.466755560004277,HII_2644,6,254.016,6.656536595767642e+16,0.866729991184975,good,True
57.66711453716648,23.932811094436023,HII_2786,6,254.006,6.646293957786125e+16,0.22172351212964045,good,True
57.72633333002144,23.834888890004223,HII_2881,6,254.016,6.645861025161754e+16,1.002397664202803,questionable,True
56.058116910257134,24.779131166950208,HII_293,6,254.005,6.832214501842995e+16,0.2382341241735561,good,True
57.86353116890616,24.518397985249436,HII_3031,6,254.003,6.665741569629734e+16,0.22788973251917516,good,True
57.91865329136113,24.98293671740147,HII_3097,6,254.005,6.686305873096653e+16,0.15643006538157972,good,True
56.083825422425534,24.79593684028256,HII_314,6,253.962,6.981163967676954e+16,0.11004659843989706,good,True
57.987052231275264,23.901705629797664,HII_3179,6,254.005,6.647122027493427e+16,0.18925562913470315,good,True
56.169907504070515,24.818281940677046,HII_405,6,253.988,6.981194891440717e+16,0.19343385074533176,good,True
56.23499997584878,24.43261110906833,HII_489,6,254.016,6.529543002635251e+16,0.7857421221026837,good,True
56.2667928058901,25.257601972166732,HII_514,6,254.006,6.984087981404787e+16,0.17464322337538613,good,True
56.31410790662829,25.28921837343055,HII_571,6,254.006,6.986431315560512e+16,0.24677309495321514,good,True
56.41748301125796,24.627026629966053,HII_727,6,254.007,6.680265430945971e+16,0.04902966023925442,good,True
56.42561190475926,24.905761759644655,HII_739,6,254.004,6.981634696088678e+16,0.11630899778043123,good,True
56.541970715776635,23.33973124178768,HII_923,6,254.004,6.49711771748503e+16,0.23169534374076334,good,True
56.5945303642974,24.56988084776331,HII_996,6,254.006,6.67882919388183e+16,0.2594163430209237,good,True
34.353456760107846,28.741417493164015,HIP10679,6,514.08,1.0777419847460237e+17,0.2300346834431669,good,True
36.872298436983534,30.97319910223908,HIP11437,6,574.56,1.3236295925919603e+17,0.07745054331454325,good,True
106.58725956324956,-43.61069342617807,HIP34276,6,8799.752,5.559301562234019e+18,,good,True
155.74191788063598,-66.90142324575172,HIP50847,7,5685.118,5.245074230075552e+18,,good,True
179.79422532552348,-45.83227788082971,HIP58452,7,2902.246,5.377909459643206e+18,,good,True
181.1881075571415,-59.25333133310307,HIP58901,7,3356.492,6.071169133172136e+18,,good,True
182.0214352619788,-50.66134453487449,HIP59173,7,2902.048,6.126517517699891e+18,,good,True
183.78588352618743,-58.748993679568734,HIP59747,7,3356.493,6.071060144089352e+18,,good,True
184.6088031423018,-64.0031251698245,HIP60009,7,3265.89,6.053327426740165e+18,,good,True
185.7055266703342,-57.676206907481934,HIP60379,7,3265.775,6.071548670839839e+18,,good,True
186.63202062229516,-51.450700512851746,HIP60710,7,3023.18,6.077604196752636e+18,,good,True
187.0096058114364,-50.23071492159829,HIP60823,7,2902.17,6.127435678627742e+18,,good,True
189.2951951858212,-69.13564358687562,HIP61585,7,3598.521,5.855593454594293e+18,0.27824503512798315,good,True
190.7878834484057,-56.17630475907725,HIP62058,7,3265.8,6.073260816590518e+18,,good,True
191.5942659991875,-56.48891080630394,HIP62327,7,3265.791,6.061204980842863e+18,,good,True
191.92974873467313,-59.68887568086024,HIP62434,7,3447.178,,,good,False
193.64807771296475,-57.17800667641195,HIP63003,7,3265.802,6.060547163656965e+18,0.20668825363899718,good,True
193.6533534941721,-57.16873193073843,HIP63005,7,3265.805,6.06054733545566e+18,0.20469661617998225,good,True
194.26782727001853,-51.19885346074661,HIP63210,7,3447.092,6.081364732673285e+18,,good,True
196.56931584605124,-48.4633881679572,HIP63945,7,3265.669,6.085229378603011e+18,,good,True
196.7274072957972,-49.90632250803614,HIP64004,7,3265.708,6.081542475600378e+18,,good,True
200.1572892888835,-52.74792953113522,HIP65112,7,3447.085,6.068270408181444e+18,,good,True
204.3475627873153,-46.42800535591175,HIP66454,7,2902.849,6.084002083108542e+18,,good,True
207.37592314553115,-41.68783990850871,HIP67464,7,2721.419,6.112195451032545e+18,,good,True
207.95641166809523,-32.99426653557702,HIP67669,7,5715.195,6.170485544575679e+18,,good,True
208.01985152966108,-52.81170159775363,HIP67703,7,3447.002,6.065984557860592e+18,,good,True
209.5675825836743,-42.10088443133623,HIP68245,7,2902.875,6.110381256839901e+18,,good,True
